Date,BranchID,BranchName,ProductCategory,ProductName,Quantity,Price,TotalSales,Salesperson
2025-01-11,BR_05,Surabaya Central,Electronics,Smartphone Samsung A54,5,4500000,22500000,Andi
2025-01-11,BR_03,Jakarta West,Beauty,Skincare Set Korea,1,550000,550000,Gita
2025-01-11,BR_05,Surabaya Central,Beauty,Parfum EDT 100ml,4,450000,1800000,Andi
2025-01-11,BR_03,Jakarta West,Electronics,Headphone Sony WH-1000,4,3200000,12800000,Andi
2025-01-11,BR_02,Jakarta South,Beauty,Parfum EDT 100ml,1,450000,450000,Citra
2025-01-12,BR_10,Makassar,Home & Living,Blender Philips,2,750000,1500000,Budi
2025-01-12,BR_09,Medan,Beauty,Hair Dryer Panasonic,5,350000,1750000,Budi
2025-01-12,BR_04,Bandung Main,Beauty,Parfum EDT 100ml,4,450000,1800000,Dewi
2025-01-12,BR_10,Makassar,Beauty,Foundation Maybelline,5,180000,900000,Fitri
2025-01-12,BR_01,Jakarta Central,Electronics,Laptop ASUS Vivobook,2,8500000,17000000,Eko
2025-01-12,BR_02,Jakarta South,Fashion,Dress Casual Wanita,2,450000,900000,Citra
2025-01-12,BR_03,Jakarta West,Electronics,Smartwatch Xiaomi,4,1200000,4800000,Eko
2025-01-12,BR_10,Makassar,Beauty,Foundation Maybelline,1,180000,180000,Indah
2025-01-12,BR_05,Surabaya Central,Home & Living,Kipas Angin Standing,1,350000,350000,Eko
2025-01-12,BR_05,Surabaya Central,Fashion,Tas Ransel,1,550000,550000,Eko
2025-01-12,BR_03,Jakarta West,Home & Living,Rice Cooker Miyako,1,450000,450000,Andi
2025-01-12,BR_03,Jakarta West,Home & Living,Lampu LED Smart,5,250000,1250000,Budi
2025-01-13,BR_02,Jakarta South,Beauty,Foundation Maybelline,4,180000,720000,Indah
2025-01-13,BR_09,Medan,Beauty,Parfum EDT 100ml,1,450000,450000,Budi
2025-01-13,BR_01,Jakarta Central,Beauty,Foundation Maybelline,5,180000,900000,Eko
2025-01-13,BR_01,Jakarta Central,Electronics,Laptop ASUS Vivobook,5,8500000,42500000,Dewi
2025-01-13,BR_01,Jakarta Central,Home & Living,Lampu LED Smart,1,250000,250000,Andi
2025-01-13,BR_08,Yogyakarta,Beauty,Foundation Maybelline,2,180000,360000,Eko
2025-01-13,BR_07,Semarang,Beauty,Skincare Set Korea,4,550000,2200000,Indah
2025-01-13,BR_07,Semarang,Home & Living,Vacuum Cleaner,1,1200000,1200000,Budi
2025-01-13,BR_06,Surabaya East,Beauty,Parfum EDT 100ml,3,450000,1350000,Budi
2025-01-13,BR_09,Medan,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Indah
2025-01-13,BR_05,Surabaya Central,Home & Living,Blender Philips,4,750000,3000000,Hendra
2025-01-14,BR_07,Semarang,Electronics,Laptop ASUS Vivobook,5,8500000,42500000,Indah
2025-01-14,BR_10,Makassar,Beauty,Parfum EDT 100ml,1,450000,450000,Indah
2025-01-14,BR_05,Surabaya Central,Fashion,Sepatu Sneakers,4,850000,3400000,Gita
2025-01-14,BR_02,Jakarta South,Electronics,Tablet iPad Air,2,9500000,19000000,Budi
2025-01-14,BR_05,Surabaya Central,Electronics,Tablet iPad Air,4,9500000,38000000,Hendra
2025-01-14,BR_04,Bandung Main,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Gita
2025-01-14,BR_03,Jakarta West,Beauty,Foundation Maybelline,5,180000,900000,Eko
2025-01-14,BR_05,Surabaya Central,Beauty,Parfum EDT 100ml,4,450000,1800000,Eko
2025-01-14,BR_08,Yogyakarta,Fashion,Tas Ransel,2,550000,1100000,Eko
2025-01-14,BR_09,Medan,Fashion,Kemeja Formal Pria,3,350000,1050000,Indah
2025-01-14,BR_06,Surabaya East,Home & Living,Blender Philips,3,750000,2250000,Eko
2025-01-15,BR_03,Jakarta West,Beauty,Hair Dryer Panasonic,4,350000,1400000,Budi
2025-01-15,BR_06,Surabaya East,Beauty,Parfum EDT 100ml,3,450000,1350000,Fitri
2025-01-15,BR_04,Bandung Main,Beauty,Lipstik Matte,4,150000,600000,Indah
2025-01-15,BR_06,Surabaya East,Beauty,Parfum EDT 100ml,4,450000,1800000,Fitri
2025-01-15,BR_08,Yogyakarta,Electronics,Laptop ASUS Vivobook,5,8500000,42500000,Eko
2025-01-15,BR_06,Surabaya East,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Budi
2025-01-15,BR_01,Jakarta Central,Fashion,Tas Ransel,2,550000,1100000,Andi
2025-01-15,BR_08,Yogyakarta,Home & Living,Vacuum Cleaner,5,1200000,6000000,Eko
2025-01-15,BR_07,Semarang,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Dewi
2025-01-15,BR_06,Surabaya East,Beauty,Hair Dryer Panasonic,1,350000,350000,Gita
2025-01-15,BR_04,Bandung Main,Home & Living,Rice Cooker Miyako,1,450000,450000,Dewi
2025-01-16,BR_02,Jakarta South,Beauty,Lipstik Matte,3,150000,450000,Citra
2025-01-16,BR_01,Jakarta Central,Home & Living,Blender Philips,3,750000,2250000,Eko
2025-01-16,BR_06,Surabaya East,Beauty,Lipstik Matte,2,150000,300000,Budi
2025-01-16,BR_10,Makassar,Fashion,Dress Casual Wanita,2,450000,900000,Budi
2025-01-16,BR_10,Makassar,Beauty,Hair Dryer Panasonic,2,350000,700000,Gita
2025-01-16,BR_10,Makassar,Fashion,Dress Casual Wanita,4,450000,1800000,Hendra
2025-01-16,BR_05,Surabaya Central,Beauty,Foundation Maybelline,1,180000,180000,Gita
2025-01-16,BR_05,Surabaya Central,Fashion,Kemeja Formal Pria,4,350000,1400000,Andi
2025-01-17,BR_07,Semarang,Home & Living,Kipas Angin Standing,3,350000,1050000,Budi
2025-01-17,BR_07,Semarang,Beauty,Skincare Set Korea,2,550000,1100000,Dewi
2025-01-17,BR_10,Makassar,Home & Living,Lampu LED Smart,3,250000,750000,Hendra
2025-01-17,BR_05,Surabaya Central,Electronics,Smartwatch Xiaomi,3,1200000,3600000,Hendra
2025-01-17,BR_10,Makassar,Electronics,Tablet iPad Air,4,9500000,38000000,Eko
2025-01-17,BR_04,Bandung Main,Home & Living,Rice Cooker Miyako,2,450000,900000,Gita
2025-01-17,BR_05,Surabaya Central,Fashion,Kemeja Formal Pria,1,350000,350000,Andi
2025-01-17,BR_08,Yogyakarta,Electronics,Tablet iPad Air,3,9500000,28500000,Eko
2025-01-17,BR_03,Jakarta West,Electronics,Headphone Sony WH-1000,3,3200000,9600000,Eko
2025-01-17,BR_07,Semarang,Fashion,Dress Casual Wanita,2,450000,900000,Indah
2025-01-18,BR_05,Surabaya Central,Beauty,Foundation Maybelline,3,180000,540000,Hendra
2025-01-18,BR_08,Yogyakarta,Electronics,Laptop ASUS Vivobook,2,8500000,17000000,Eko
2025-01-18,BR_07,Semarang,Home & Living,Blender Philips,4,750000,3000000,Fitri
2025-01-18,BR_05,Surabaya Central,Electronics,Smartwatch Xiaomi,3,1200000,3600000,Andi
2025-01-18,BR_10,Makassar,Beauty,Foundation Maybelline,1,180000,180000,Hendra
2025-01-18,BR_04,Bandung Main,Beauty,Skincare Set Korea,5,550000,2750000,Gita
2025-01-18,BR_06,Surabaya East,Fashion,Kemeja Formal Pria,4,350000,1400000,Eko
2025-01-18,BR_07,Semarang,Electronics,Laptop ASUS Vivobook,1,8500000,8500000,Fitri
2025-01-18,BR_05,Surabaya Central,Beauty,Skincare Set Korea,1,550000,550000,Eko
2025-01-18,BR_09,Medan,Fashion,Tas Ransel,4,550000,2200000,Indah
2025-01-18,BR_09,Medan,Beauty,Hair Dryer Panasonic,2,350000,700000,Indah
2025-01-18,BR_02,Jakarta South,Beauty,Hair Dryer Panasonic,4,350000,1400000,Indah
2025-01-18,BR_01,Jakarta Central,Home & Living,Rice Cooker Miyako,4,450000,1800000,Eko
2025-01-19,BR_02,Jakarta South,Home & Living,Lampu LED Smart,3,250000,750000,Citra
2025-01-19,BR_07,Semarang,Home & Living,Rice Cooker Miyako,1,450000,450000,Dewi
2025-01-19,BR_02,Jakarta South,Fashion,Jaket Denim,1,650000,650000,Citra
2025-01-19,BR_06,Surabaya East,Fashion,Dress Casual Wanita,5,450000,2250000,Fitri
2025-01-19,BR_02,Jakarta South,Fashion,Jaket Denim,2,650000,1300000,Budi
2025-01-19,BR_06,Surabaya East,Fashion,Jaket Denim,1,650000,650000,Eko
2025-01-19,BR_03,Jakarta West,Fashion,Jaket Denim,3,650000,1950000,Joko
2025-01-19,BR_02,Jakarta South,Electronics,Laptop ASUS Vivobook,1,8500000,8500000,Indah
2025-01-19,BR_04,Bandung Main,Home & Living,Blender Philips,2,750000,1500000,Dewi
2025-01-19,BR_01,Jakarta Central,Fashion,Tas Ransel,5,550000,2750000,Andi
2025-01-19,BR_02,Jakarta South,Beauty,Parfum EDT 100ml,3,450000,1350000,Citra
2025-01-19,BR_08,Yogyakarta,Fashion,Jaket Denim,1,650000,650000,Eko
2025-01-19,BR_09,Medan,Home & Living,Kipas Angin Standing,1,350000,350000,Hendra
2025-01-20,BR_07,Semarang,Beauty,Skincare Set Korea,4,550000,2200000,Dewi
2025-01-20,BR_02,Jakarta South,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Budi
2025-01-20,BR_02,Jakarta South,Fashion,Sepatu Sneakers,5,850000,4250000,Indah
2025-01-20,BR_07,Semarang,Home & Living,Kipas Angin Standing,5,350000,1750000,Dewi
2025-01-20,BR_02,Jakarta South,Electronics,Tablet iPad Air,2,9500000,19000000,Eko
2025-01-20,BR_08,Yogyakarta,Fashion,Tas Ransel,3,550000,1650000,Joko
2025-01-20,BR_07,Semarang,Beauty,Skincare Set Korea,3,550000,1650000,Dewi
2025-01-20,BR_06,Surabaya East,Home & Living,Vacuum Cleaner,2,1200000,2400000,Budi
2025-01-20,BR_02,Jakarta South,Electronics,Smartphone Samsung A54,1,4500000,4500000,Eko
2025-01-20,BR_02,Jakarta South,Home & Living,Rice Cooker Miyako,5,450000,2250000,Citra
2025-01-20,BR_10,Makassar,Home & Living,Blender Philips,4,750000,3000000,Eko
2025-01-21,BR_01,Jakarta Central,Home & Living,Lampu LED Smart,3,250000,750000,Eko
2025-01-21,BR_02,Jakarta South,Fashion,Dress Casual Wanita,4,0,0,Budi
2025-01-21,BR_02,Jakarta South,Home & Living,Lampu LED Smart,3,250000,750000,Citra
2025-01-21,BR_05,Surabaya Central,Fashion,Tas Ransel,5,550000,2750000,Hendra
2025-01-21,BR_10,Makassar,Home & Living,Blender Philips,2,750000,1500000,Eko
2025-01-21,BR_05,Surabaya Central,Home & Living,Vacuum Cleaner,1,1200000,1200000,Eko
2025-01-21,BR_03,Jakarta West,Beauty,Skincare Set Korea,2,550000,1100000,Eko
2025-01-21,BR_01,Jakarta Central,Electronics,Tablet iPad Air,2,9500000,19000000,Eko
2025-01-21,BR_07,Semarang,Beauty,Foundation Maybelline,2,180000,360000,Indah
2025-01-21,BR_05,Surabaya Central,Home & Living,Lampu LED Smart,5,250000,1250000,Hendra
2025-01-21,BR_01,Jakarta Central,Fashion,Dress Casual Wanita,5,450000,2250000,Andi
2025-01-22,BR_05,Surabaya Central,Beauty,Parfum EDT 100ml,4,450000,1800000,Gita
2025-01-22,BR_07,Semarang,Home & Living,Rice Cooker Miyako,5,450000,2250000,Fitri
2025-01-22,BR_06,Surabaya East,Beauty,Skincare Set Korea,3,550000,1650000,Budi
2025-01-22,BR_09,Medan,Home & Living,Blender Philips,2,750000,1500000,Indah
2025-01-22,BR_10,Makassar,Electronics,Smartphone Samsung A54,2,4500000,9000000,Eko
2025-01-22,BR_04,Bandung Main,Fashion,Sepatu Sneakers,3,850000,2550000,Dewi
2025-01-22,BR_02,Jakarta South,Electronics,Smartwatch Xiaomi,4,1200000,4800000,Budi
2025-01-22,BR_03,Jakarta West,Beauty,Hair Dryer Panasonic,2,350000,700000,Gita
2025-01-23,BR_02,Jakarta South,Beauty,Skincare Set Korea,4,550000,2200000,Citra
2025-01-23,BR_08,Yogyakarta,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Joko
2025-01-23,BR_10,Makassar,Beauty,Parfum EDT 100ml,3,450000,1350000,Budi
2025-01-23,BR_07,Semarang,Electronics,Headphone Sony WH-1000,2,3200000,6400000,Dewi
2025-01-23,BR_06,Surabaya East,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Fitri
2025-01-23,BR_07,Semarang,Beauty,Hair Dryer Panasonic,1,350000,350000,Dewi
2025-01-23,BR_05,Surabaya Central,Home & Living,Rice Cooker Miyako,3,450000,1350000,Eko
2025-01-23,BR_02,Jakarta South,Electronics,Tablet iPad Air,5,9500000,47500000,Budi
2025-01-23,BR_06,Surabaya East,Home & Living,Rice Cooker Miyako,2,450000,900000,Gita
2025-01-23,BR_03,Jakarta West,Home & Living,Rice Cooker Miyako,2,450000,900000,Gita
2025-01-24,BR_02,Jakarta South,Fashion,Tas Ransel,4,550000,2200000,Eko
2025-01-24,BR_10,Makassar,Home & Living,Vacuum Cleaner,2,1200000,2400000,Gita
2025-01-24,BR_02,Jakarta South,Beauty,Parfum EDT 100ml,3,450000,1350000,Indah
2025-01-24,BR_10,Makassar,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Budi
2025-01-24,BR_05,Surabaya Central,Beauty,Parfum EDT 100ml,1,450000,450000,Hendra
2025-01-24,BR_06,Surabaya East,Home & Living,Blender Philips,1,750000,750000,Budi
2025-01-24,BR_08,Yogyakarta,Electronics,Smartwatch Xiaomi,5,1200000,6000000,Eko
2025-01-24,BR_04,Bandung Main,Home & Living,Lampu LED Smart,4,250000,1000000,Gita
2025-01-24,BR_03,Jakarta West,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Budi
2025-01-25,BR_03,Jakarta West,Electronics,Laptop ASUS Vivobook,4,8500000,34000000,Hendra
2025-01-25,BR_09,Medan,Fashion,Sepatu Sneakers,3,850000,2550000,Indah
2025-01-25,BR_07,Semarang,Beauty,Foundation Maybelline,5,180000,900000,Fitri
2025-01-25,BR_06,Surabaya East,Electronics,Headphone Sony WH-1000,1,3200000,3200000,Budi
2025-01-25,BR_05,Surabaya Central,Home & Living,Lampu LED Smart,2,250000,500000,Andi
2025-01-25,BR_02,Jakarta South,Fashion,Sepatu Sneakers,3,850000,2550000,Eko
2025-01-25,BR_03,Jakarta West,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Hendra
2025-01-25,BR_06,Surabaya East,Fashion,Jaket Denim,1,650000,650000,Budi
2025-01-25,BR_09,Medan,Home & Living,Blender Philips,3,750000,2250000,Indah
2025-01-25,BR_03,Jakarta West,Fashion,Sepatu Sneakers,4,850000,3400000,Joko
2025-01-25,BR_04,Bandung Main,Fashion,Dress Casual Wanita,1,450000,450000,Dewi
